"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
ptconsent_q6_svh,patient_consent_st_vincents_hospital,,radio,"<h2>I understand that <strong>information</strong> about me will be <strong>kept safe</strong> and not shared with <strong>anyone outside the research team.</strong></h2>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_svh]=""""",y,LH,,,,
ptconsent_q7_svh,patient_consent_st_vincents_hospital,,radio,"<div class=""rich-text-field-label""><h2>I understand that <strong>my data </strong>will be <strong>kept </strong>for a <strong>minimum of twenty five (25) years.</strong></h2></div>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_svh]=""""",y,LH,,,,
ptconsent_q8_svh,patient_consent_st_vincents_hospital,,radio,"<div class=""rich-text-field-label""><h2>I understand that I can ask to<strong> access my data</strong><strong>.</strong></h2></div>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_svh]=""""",y,LH,,,,
ptconsent_q9_svh,patient_consent_st_vincents_hospital,,radio,"<h2>I know that when <strong>results</strong> are shared the researchers will <strong>not use my name</strong> </h2>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_svh]=""""",y,LH,,,,
ptconsent_q10_svh,patient_consent_st_vincents_hospital,,radio,"<h2>I know that to ask <strong>questions</strong> I need to contact <strong>Dr Sarah Wallace</strong> (Speech Pathologist).</h2> <h2>Phone: 07 3346 7453</h2> <h2>Email: s.wallace3@uq.edu.au</h2>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_svh]=""""",y,LH,,,,
ptconsent_q11_svh,patient_consent_st_vincents_hospital,,radio,"<div class=""rich-text-field-label""><h2><span style=""color: #000000;""><strong>Information about you, your aphasia care, and outcomes.</strong></span></h2> <h2 style=""line-height: 200%;""><span style=""color: #000000;""><strong>I agree:</strong></span></h2> <ul> <li> <h2><strong>Researchers</strong><span style=""color: #000000;""> <span style=""font-weight: normal;"">will </span>be <strong>given information</strong> about my care from my medical chart<strong>.</strong></span></h2> </li> <li> <h2><span style=""color: #000000;"">I will have<strong> aphasia assessments before </strong>and<strong> after therapy</strong>.</span></h2> </li> <li> <h2><span style=""color: #000000;"">I understand assessments may take <strong>more time</strong> than usual care.</span></h2> </li> <li> <h2><span style=""color: #000000;"">I understand the assessment will include<span style=""font-weight: normal;""> </span><strong>questions about my improvement</strong> after therapy.</span></h2> </li> <li> <h2><span style=""color: #000000;"">I understand my <strong>speech pathologist</strong> will also <strong>answer questions about </strong><strong>my recovery.</strong></span></h2> </li> <li><strong style=""font-size: 2rem;""><span style=""font-weight: normal;"">I understand I will </span>answer questions about my experience<span style=""font-weight: normal;""> in this research.</span></strong></li> </ul></div>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_svh]=""""",y,LH,,,,
ptconsent_q12_svh,patient_consent_st_vincents_hospital,,radio,"<h2>I <b>consent</b> to <b>participating in this study</b></h2>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,,y,LH,,,,
ptconsent_q13_svh,patient_consent_st_vincents_hospital,,radio,"<div class=""rich-text-field-label""><h2>I would like <strong>my data</strong> to be <strong>used </strong>for <strong>related research <span style=""font-weight: normal;"">in the </span>future</strong></h2></div>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,,y,LH,,,,
ptconsent_name_svh,patient_consent_st_vincents_hospital,,text,"<h2>My <b>name</b></h2>",,"Please provide first and last name only, separated by a space",,,,y,,y,RH,,,,
pt_initials_site_svh,patient_consent_st_vincents_hospital,,text,"Participant Initials",,,,,,,,,,,,," @HIDDEN
@HIDDEN-PDF
@CALCTEXT(concat((left([ptconsent_name_svh], 1)), (mid([ptconsent_name_svh], find(' ', [ptconsent_name_svh])+1,1))))"
ptconsent_sig_svh,patient_consent_st_vincents_hospital,,file,"<h2>My <b>signature<b/></h2>",,"Signed by participant",signature,,,y,,,RH,,,,
ptconsent_sigproxy_svh,patient_consent_st_vincents_hospital,,file,"<h2>Signed<b> on behalf of the patient</b> named above if required</h2>",,,signature,,,,,,RH,,,,
ptconsent_proxyname_svh,patient_consent_st_vincents_hospital,,text,"<div class=""rich-text-field-label""><h2>Name of patient representative</h2></div>",,,,,,y,"[ptconsent_sigproxy_svh]<>""""",y,RH,,,,
ptconsent_proxytype_svh,patient_consent_st_vincents_hospital,,dropdown,"<div class=""rich-text-field-label""><h2>Representative type</h2></div>","1, Assigned Medical Officer | 2, Next of Kin | 3, Significant Other | 8, Other; please specify {ptconsent_proxyoth_svh}",,,,,,"[ptconsent_sigproxy_svh]<>""""",,RH,,,,
ptconsent_proxyoth_svh,patient_consent_st_vincents_hospital,,text,"<div class=""rich-text-field-label""><h2>If other, please specify</h2></div>",,,,,,,[ptconsent_proxytype_svh]='8',,RH,,,,
ptconsent_findings_svh,patient_consent_st_vincents_hospital,,descriptive,"<div class=""rich-text-field-label""><h2>I would like to receive a <strong>written copy of the research findings. </strong></h2> <h2>My postal/email address is: {ptconsent_findingscontact_svh}</h2></div>",,,,,,,,,,,,,
ptconsent_findingscontact_svh,patient_consent_st_vincents_hospital,,text,"<div class=""rich-text-field-label""><h2>Contact</h2></div>",,,,,,,,,,,,,
ptconsent_papercomp_svh,patient_consent_st_vincents_hospital,,radio,"<div class=""rich-text-field-label""><h4>All questions on the paper form have been completed</h4></div>","1, Yes | 2, No",,,,,,,,LV,,,,
ptconsent_yes_svh,patient_consent_st_vincents_hospital,,descriptive,Yes,,,,,,,,,,,,," @HIDDEN"
ptconsent_no_svh,patient_consent_st_vincents_hospital,,descriptive,No,,,,,,,,,,,,," @HIDDEN"
ptconsent_instruct_mnh,patient_consent_metro_north_health,,descriptive,"<div class=""rich-text-field-label""><h3><span style=""font-weight: normal;"">Patient Consent</span></h3> <div class=""yellow"" style=""text-align: left;""> <h6 style=""text-align: left;"">If completing consent electronically via REDCap, please open this page in survey view</h6> <p> </p> <h6 style=""text-align: left;"">If completing consent using a paper form, please upload a copy of the signed consent and manually enter responses in the fields below</h6> <p> </p> <h6>Please follow the consent process outlined in the Data Collection Manual and the 'Participant Consent' flowchart. </h6> <p> </p> <h6>Please complete the 'Capacity to consent questions' before obtaining consent. </h6> </div> <p><br><span style=""font-weight: normal;"">In the top right, click</span> Survey options > Open survey<span style=""font-weight: normal;""><span style=""font-weight: normal;""><br></span></span></p> <p><img src=""https://redcap.health.uq.edu.au/redcap_v13.10.4/DataEntry/image_view.php?pid=2591&id=272053&doc_id_hash=089bdc5630331efdb91c4193bfcb659d472c75c1"" alt="""" width=""264"" height=""153""></p></div>",,,,,,,,,,,,," @HIDDEN-SURVEY"
ptconsent_upload_mnh,patient_consent_metro_north_health,,file,"<div class=""rich-text-field-label""><h4>Upload scanned copy of consent form if a paper form was used</h4></div>",,,,,,,,,LV,,,," @HIDDEN-SURVEY"
ptconsent_picf_mnh,patient_consent_metro_north_health,,descriptive,"Copy of consent form",,,,,,,,,,,,," @HIDDEN-SURVEY"
ptconsent_date_mnh,patient_consent_metro_north_health,,text,"Date and time opened",,"No data entry required. This field auto-populates.",,,,,,,,,,," @HIDDEN-SURVEY @NOW @READONLY"
ptconsent_header2_mnh,patient_consent_metro_north_health,,descriptive,"<h2><span style=""font-weight: normal;""><strong>Title of Project: </strong></span>Driving High-Value Aphasia Care through Meaningful Health System Monitoring. </h2>",,,,,,,"[ptconsent_upload_mnh]=""""",,,,,,
ptconsent_header3_mnh,patient_consent_metro_north_health,,descriptive,"<h2><span style=""font-weight: normal;""><strong>Lay Title: </strong></span>Measuring and Monitoring Aphasia Services </h2>",,,,,,,"[ptconsent_upload_mnh]=""""",,,,,,
ptconsent_investigators_mnh,patient_consent_metro_north_health,,descriptive,"<div class=""rich-text-field-label""><h2><strong>Researchers:</strong></h2> <p> </p> <h2><strong>Dr Sarah Wallace (1), Dr Sam Harvey (1), </strong></h2> <h2><strong>Dr Clare Burns (2), Kylie Short (3), </strong></h2> <h2><strong>Stacey Rand (4), Wendy Luttrel (5), </strong></h2> <h2><strong>Kate Hacking (6)</strong></h2> <h2> </h2> <h2><span style=""font-weight: normal;"">(1) STARS Education and Research Alliance The University of Queensland and Metro North Health, Queensland, (2) Royal Brisbane & Women's Hospital, (3) Surgical Treatment and Rehabilitation Service, (4) Caboolture Hospital, (5) Redcliffe Hospital, (6) Community and Oral Health</span></h2></div>",,,,,,,"[ptconsent_upload_mnh]=""""",,,,,,
ptconsent_instructions_mnh,patient_consent_metro_north_health,,descriptive,"<div class=""rich-text-field-label""><h2><span style=""font-weight: normal;"">Please mark<span style=""color: #ecf0f1;""> yes</span> <img src=""https://redcap.health.uq.edu.au/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&id=245464&doc_id_hash=8e0703f74b8f3971006d8fb153a76b3ee7a0f0d7"" alt="""" width=""131"" height=""110"" /> </span><strong>or </strong><img style=""font-size: 2rem; background-color: var(--bs-body-bg); text-align: var(--bs-body-text-align);"" src=""https://redcap.health.uq.edu.au/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&id=245466&doc_id_hash=847496cfa41808378642d8b9f433cef8b7e0df94"" alt="""" width=""129"" height=""114"" /><strong style=""color: var(--bs-heading-color); font-size: 2rem; background-color: var(--bs-body-bg); text-align: var(--bs-body-text-align);""><span style=""font-weight: normal; color: #ecf0f1;"">no</span></strong><span style=""color: var(--bs-heading-color); font-size: 2rem; background-color: var(--bs-body-bg); text-align: var(--bs-body-text-align);""> </span><span style=""color: var(--bs-heading-color); font-size: 2rem; background-color: var(--bs-body-bg); text-align: var(--bs-body-text-align);""> </span></h2> <h2><span style=""font-weight: normal;"">for each statement</span></h2></div>",,,,,,,"[ptconsent_upload_mnh]=""""",,,,,,
ptconsent_q1_mnh,patient_consent_metro_north_health,,radio,"<h2>The <b>information sheet</b> has been explained to me. I understand what this research is about.</h2>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_mnh]=""""",y,LH,,,,
ptconsent_q2_mnh,patient_consent_metro_north_health,,radio,"<div class=""rich-text-field-label""><h2>I have had the chance to <strong>ask questions.</strong></h2></div>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_mnh]=""""",y,LH,,,,
ptconsent_q3_mnh,patient_consent_metro_north_health,,radio,"<h2>I understand that there is <b>no danger</b> in doing this research.</h2>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_mnh]=""""",y,LH,,,,
ptconsent_q4_mnh,patient_consent_metro_north_health,,radio,"<div class=""rich-text-field-label""><h2>I understand the benefits of this research:</h2> <ul> <li> <h2>This may help <strong>improve aphasia services</strong></h2> </li> <li> <h2>This research may <strong>not benefit me directly</strong></h2> </li> </ul></div>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_mnh]=""""",y,LH,,,,
ptconsent_q5_mnh,patient_consent_metro_north_health,,radio,"<div class=""rich-text-field-label""><h2>I understand that <strong>I do not have to participate. </strong></h2> <h2>It is my choice.<strong> </strong></h2> <h2><strong>I can change my mind <span style=""font-weight: normal;"">at any time.</span></strong></h2></div>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_mnh]=""""",y,LH,,,,
ptconsent_q6_mnh,patient_consent_metro_north_health,,radio,"<h2>I understand that <strong>information</strong> about me will be <strong>kept safe</strong> and not shared with <strong>anyone outside the research team.</strong></h2>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_mnh]=""""",y,LH,,,,
ptconsent_q7_mnh,patient_consent_metro_north_health,,radio,"<div class=""rich-text-field-label""><h2>I understand that <strong>my data </strong>will be <strong>kept </strong>for a <strong>minimum of twenty five (25) years.</strong></h2></div>","1, <font color=""white"">Yes <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=1037d6f865616755c8b92a267e6201833ab7cf60&id=245458&instance=1""> | 2, <font color=""white"">No <img lsrc=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"" onload=""fitImg(this);"" alt=""image"" data-rc-lang-attrs=""alt=survey_1140"" style=""width:121px;max-width:121px;height:110px;max-height:110px;"" nativedim=""1"" class="""" src=""/redcap_v13.6.0/DataEntry/image_view.php?pid=2591&doc_id_hash=a8ff7a4539f3c1f39351d01f87fb7c3fee21f680&id=245460&instance=1"">",,,,,,"[ptconsent_upload_mnh]=""""",y,LH,,,,
