"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
scenario_base_history,baseline_scenario_test,,descriptive,"<p><em>Baseline Scenario Test completion status:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][scenario_base_comp]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][scenario_base_comp]</span></em></p>",,,,,,,,,,,,,
scenario_base_file,baseline_scenario_test,,file,"Upload a copy of the completed baseline Scenario Test (optional)",,,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_nc,baseline_scenario_test,,checkbox,"Why was the baseline Scenario Test not completed?","1, Patient factors | 2, Service factors | 3, Previously completed | 4, Other assessment used to assess communication function; please specify {scenario_base_otherax}","Select all that apply",,,,,[scenario_base_comp]='2',,,,,," @NONEOFTHEABOVE='3' @NONEOFTHEABOVE='4'"
scenario_base_otherax,baseline_scenario_test,,text,"Please specify",,,,,,,[scenario_base_nc(4)]=1,,,,,,
scenario_base_nc_ptfact,baseline_scenario_test,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {scenario_base_nc_ptfact2}","Select all that apply",,,,,[scenario_base_nc(1)]='1',,,,,,
scenario_base_nc_ptfact2,baseline_scenario_test,,text,"If other, please specify",,,,,,,[scenario_base_nc_ptfact(8)]='1',,,,,,
scenario_base_nc_svfact,baseline_scenario_test,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {scenario_base_nc_svfact2}","Select all that apply",,,,,[scenario_base_nc(2)]='1',,,,,,
scenario_base_nc_svfact2,baseline_scenario_test,,text,"If other, please specify",,,,,,,[scenario_base_nc_svfact(8)]='1',,,,,,
scenario_base_date,baseline_scenario_test,,text,"Date baseline Scenario Test administered",,DD-MM-YYYY,date_dmy,,,,[scenario_base_comp]='1',,,,,," @HIDEBUTTON"
scenario_base_admin,baseline_scenario_test,,dropdown,"Administered by","1, Treating clinician | 2, Independent assessor | 3, Research team member",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_name,baseline_scenario_test,,text,"Name of Administrator",,,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_mode,baseline_scenario_test,,radio,"Mode of administration","1, In person | 2, Remote via telehealth | 9, Other {scenario_base_modeoth}",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_modeoth,baseline_scenario_test,,text,"Please specify",,,,,,,[scenario_base_mode]='9',,,,,," @PLACEHOLDER=""Please specify"""
scenario_base_sweater,baseline_scenario_test,"1 - Shop",radio,Sweater,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_toobig,baseline_scenario_test,,radio,"Too big (sweater)","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_price,baseline_scenario_test,,radio,Price,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_calltaxi,baseline_scenario_test,"2 - Taxi",radio,"1) Call, 2) Taxi","0, 0 | 1, 1 | 2, 2 | 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_frontseat,baseline_scenario_test,,radio,"Front (seat)","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_receipt,baseline_scenario_test,,radio,Receipt,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_coughing,baseline_scenario_test,"3 - Doctor/GP",radio,Coughing,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_appt,baseline_scenario_test,,radio,"1) Appointment, 2) Next week","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_coughsyrup,baseline_scenario_test,,radio,"1) Not this 2) Cough syrup","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_drink,baseline_scenario_test,"4 - Visit",radio,"Some kind of drink","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_children,baseline_scenario_test,,radio,"1) How are they? 2) Children","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_coffeemypl,baseline_scenario_test,,radio,"1) Coffee/next time 2) My place","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_ironing,baseline_scenario_test,"5 - Housekeeper",radio,Ironing,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_clean,baseline_scenario_test,,radio,"Clean/make beds","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_coffee,baseline_scenario_test,,radio,"1) Coffee, 2) Together","0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_toilet,baseline_scenario_test,"6 - Restaurant",radio,Toilet,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_menu,baseline_scenario_test,,radio,Menu,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_spoon,baseline_scenario_test,,radio,Spoon,"0, 0 |1, 1 | 2, 2| 3, 3",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_rawscore,baseline_scenario_test,,calc,"Total Score","sum([scenario_base_sweater],[scenario_base_toobig],[scenario_base_price],[scenario_base_calltaxi],[scenario_base_frontseat],[scenario_base_receipt],[scenario_base_coughing],[scenario_base_appt],[scenario_base_coughsyrup],[scenario_base_drink],[scenario_base_children],[scenario_base_coffeemypl],[scenario_base_ironing],[scenario_base_clean],[scenario_base_coffee],[scenario_base_toilet],[scenario_base_menu],[scenario_base_spoon])",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_percentile,baseline_scenario_test,,calc,Percentile,"if([scenario_base_rawscore]= 54,100,if([scenario_base_rawscore]= 53,95,if([scenario_base_rawscore]= 52,80,if([scenario_base_rawscore]=51,70,if([scenario_base_rawscore]= 50,60,if([scenario_base_rawscore]= 49,55,if([scenario_base_rawscore]>= 47,50,if([scenario_base_rawscore]= 46,40,if([scenario_base_rawscore]>= 43,35,if([scenario_base_rawscore]= 42,27,if([scenario_base_rawscore]= 41,26,if([scenario_base_rawscore]= 40,25,if([scenario_base_rawscore]= 39,24,if([scenario_base_rawscore]= 38,23,if([scenario_base_rawscore]= 37,21,if([scenario_base_rawscore]= 36,19,if([scenario_base_rawscore]= 35,18,if([scenario_base_rawscore]= 34,15,if([scenario_base_rawscore]= 33,13,if([scenario_base_rawscore]= 32,12,if([scenario_base_rawscore]>= 30,11,if([scenario_base_rawscore]>= 28,10,if([scenario_base_rawscore]= 27,9,if([scenario_base_rawscore]= 26,8,if([scenario_base_rawscore]>= 23,7,if([scenario_base_rawscore]>= 20,6,if([scenario_base_rawscore]>= 16,5,if([scenario_base_rawscore]>= 13,4,if([scenario_base_rawscore]= 12,3,if([scenario_base_rawscore]= 11,2,if([scenario_base_rawscore]<= 9,1,"""")))))))))))))))))))))))))))))))",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_incomp,baseline_scenario_test,"Incomplete items",radio,"Were any items in this test NOT asked by the clinician or NOT attempted by the patient?","1, Yes - some items incomplete | 2, No - all items complete",,,,,,[scenario_base_comp]='1',,,,,,
scenario_base_incomplist,baseline_scenario_test,,notes,"Please describe reasons for incomplete items",,,,,,,[scenario_base_incomp]='1',,,,,,
ghq12_base_header,baseline_ghq12,"Baseline: General Health Questionnaire-12 (GHQ-12)",descriptive,"<div class=""rich-text-field-label""><p>Please do not leave any data fields blank</p>",,,,,,,,,,,,,
data_entry_id_ghq12_base,baseline_ghq12,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
ghq12_base_comp,baseline_ghq12,,radio,"Baseline GHQ-12 completed in [event-label] setting?","1, Yes | 2, No",,,,,,,,,,,,
ghq12_base_history,baseline_ghq12,,descriptive,"<p><em>Baseline GHQ-12 completion status:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][ghq12_base_comp]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][ghq12_base_comp]</span></em></p>",,,,,,,,,,,,,
ghq12_base_file,baseline_ghq12,,file,"Upload a copy of the completed baseline GHQ-12 (optional)",,,,,,,[ghq12_base_comp]='1',,RH,,,,
ghq12_base_nc,baseline_ghq12,,checkbox,"Why was the baseline GHQ-12 not completed?","1, Patient factors | 2, Service factors | 3, Previously completed | 4, Other assessment used to assess emotional wellbeing; please specify {ghq12_base_otherax}","Select all that apply",,,,,[ghq12_base_comp]='2',,,,,," @NONEOFTHEABOVE='3' @NONEOFTHEABOVE='4'"
ghq12_base_otherax,baseline_ghq12,,text,"Please specify",,,,,,,[ghq12_base_nc(4)]=1,,,,,,
ghq12_base_nc_ptfact,baseline_ghq12,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {ghq12_base_nc_ptfact2}","Select all that apply",,,,,[ghq12_base_nc(1)]='1',,,,,,
ghq12_base_nc_ptfact2,baseline_ghq12,,text,"If other, please specify",,,,,,,[ghq12_base_nc_ptfact(8)]='1',,,,,,
ghq12_base_nc_svfact,baseline_ghq12,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {ghq12_base_nc_svfact2}","Select all that apply",,,,,[ghq12_base_nc(2)]='1',,,,,,
ghq12_base_nc_svfact2,baseline_ghq12,,text,"If other, please specify",,,,,,,[ghq12_base_nc_svfact(8)]='1',,,,,,
ghq12_base_date,baseline_ghq12,,text,"Date baseline GHQ-12 administered",,DD-MM-YYYY,date_dmy,,,,[ghq12_base_comp]='1',,,,,," @HIDEBUTTON"
ghq12_base_admin,baseline_ghq12,,dropdown,"Administered by","1, Treating clinician | 2, Independent assessor | 3, Research team member",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_name,baseline_ghq12,,text,"Name of Administrator",,,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_mode,baseline_ghq12,,radio,"Mode of administration","1, In person | 2, Remote via telehealth | 9, Other {ghq12_base_modeoth}",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_modeoth,baseline_ghq12,,text,"Please specify",,,,,,,[ghq12_base_mode]='9',,,,,," @PLACEHOLDER=""Please specify"""
ghq12_base_q01,baseline_ghq12,"GHQ-12 Responses",radio,"Have you recently been able to concentrate on what you are doing?","0, Better than usual | 1, Same as usual | 2, Less than usual | 3, Much less than usual",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q07,baseline_ghq12,,radio,"Have you recently lost much sleep over worry?","0, Not at all | 1, No more than usual | 2, Rather more than usual | 3, Much more than usual",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q02,baseline_ghq12,,radio,"Have you recently felt you are playing a useful part in things?","0, More so than usual | 1, Same as usual | 2, Less useful than usual | 3, Much less useful",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q03,baseline_ghq12,,radio,"Have you recently felt capable of making decisions about things?","0, More so than usual | 1, Same as usual | 2, Less so than usual | 3, Much less capable",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q08,baseline_ghq12,,radio,"Have you recently felt constantly under strain?","0, Not at all | 1, No more than usual | 2, Rather more than usual | 3, Much more than usual",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q09,baseline_ghq12,,radio,"Have you recently felt like you couldn't overcome your difficulties","0, Not at all | 1, No more than usual | 2, Rather more than usual | 3, Much more than usual",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q04,baseline_ghq12,,radio,"Have you recently been able to enjoy your normal day-to-day activities?","0, More so than usual | 1, Same as usual | 2, Less so than usual | 3, Much less than usual",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q05,baseline_ghq12,,radio,"Have you recently been able to face up to your problems?","0, More so than usual | 1, Same as usual | 2, Less able than usual | 3, Much less able",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q10,baseline_ghq12,,radio,"Have you recently been feeling unhappy or depressed?","0, Not at all | 1, No more than usual | 2, Rather more than usual | 3, Much more than usual",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q11,baseline_ghq12,,radio,"Have you recently been losing confidence in yourself?","0, Not at all | 1, No more than usual | 2, Rather more than usual | 3, Much more than usual",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q12,baseline_ghq12,,radio,"Have you recently been thinking of yourself as a worthless person?","0, Not at all | 1, No more than usual | 2, Rather more than usual | 3, Much more than usual",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_q06,baseline_ghq12,,radio,"Have you recently been feeling reasonably happy, all things considered?","0, More so than usual | 1, About same than usual | 2, Less so than usual | 3, Much less than usual",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_totalscore,baseline_ghq12,"Total Score",calc,Total,"sum([ghq12_base_q01],[ghq12_base_q02],[ghq12_base_q03],[ghq12_base_q04],[ghq12_base_q05],[ghq12_base_q06],[ghq12_base_q07],[ghq12_base_q08],[ghq12_base_q09],[ghq12_base_q10],[ghq12_base_q11],[ghq12_base_q12])",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_incomp,baseline_ghq12,"Incomplete items",radio,"Were any items in this test NOT asked by the clinician or NOT attempted by the patient?","1, Yes - some items incomplete | 2, No - all items complete",,,,,,[ghq12_base_comp]='1',,,,,,
ghq12_base_incomplist,baseline_ghq12,,notes,"Please describe reasons for incomplete items",,,,,,,[ghq12_base_incomp]='1',,,,,,
saqol_base_header,baseline_saqol39,"Baseline: Stroke and Aphasia Quality of Life Scale-39 (SAQOL-39)",descriptive,"<div class=""rich-text-field-label""><p>Please do not leave any data fields blank</p>",,,,,,,,,,,,,
data_entry_id_saqol_base,baseline_saqol39,,text,"Data entry person ID",,,,,,,,,,,,," @USERNAME @READONLY"
saqol_base_comp,baseline_saqol39,,radio,"Baseline SAQOL-39 completed in [event-label] setting?","1, Yes | 2, No",,,,,,,,,,,,
saqol_base_history,baseline_saqol39,,descriptive,"<p><em>Baseline SAQOL-39 completion status:</em></p> <p><em>Inpatient Acute: <span style=""color: #e03e2d;"">[inpatient_acute_arm_1][saqol_base_comp]</span></em></p> <p><em>Inpatient Rehab/Subacute: <span style=""color: #e03e2d;"">[inpatient_rehabsub_arm_1][saqol_base_comp]</span></em></p>",,,,,,,,,,,,,
saqol_base_file,baseline_saqol39,,file,"Upload a copy of the completed baseline SAQOL-39 (optional)",,,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_nc,baseline_saqol39,,checkbox,"Why was the baseline SAQOL-39 not completed?","1, Patient factors | 2, Service factors | 3, Previously completed | 4, Other assessment used to assess quality of life; please specify {saqol_base_otherax}","Select all that apply",,,,,[saqol_base_comp]='2',,,,,," @NONEOFTHEABOVE='3' @NONEOFTHEABOVE='4'"
saqol_base_otherax,baseline_saqol39,,text,"Please specify",,,,,,,[saqol_base_nc(4)]=1,,,,,,
saqol_base_nc_ptfact,baseline_saqol39,,checkbox,"Which patient factors influenced non-completion?","1, Patient not alert | 2, Patient offered and declined | 3, Patient unavailable to participate | 4, Interpreter not available | 5, Not feasible due to aphasia severity | 6, Patient discharged before administration | 7, Patient died | 8, Other {saqol_base_nc_ptfact2}","Select all that apply",,,,,[saqol_base_nc(1)]='1',,,,,,
saqol_base_nc_ptfact2,baseline_saqol39,,text,"If other, please specify",,,,,,,[saqol_base_nc_ptfact(8)]='1',,,,,,
saqol_base_nc_svfact,baseline_saqol39,,checkbox,"Which service factors influenced non-completion?","1, Competing demands | 2, Resource constraints | 3, No available trained clinicians | 8, Other {saqol_base_nc_svfact2}","Select all that apply",,,,,[saqol_base_nc(2)]='1',,,,,,
saqol_base_nc_svfact2,baseline_saqol39,,text,"If other, please specify",,,,,,,[saqol_base_nc_svfact(8)]='1',,,,,,
saqol_base_date,baseline_saqol39,,text,"Date baseline SAQOL-39 administered",,DD-MM-YYYY,date_dmy,,,,[saqol_base_comp]='1',,,,,," @HIDEBUTTON"
saqol_base_admin,baseline_saqol39,,dropdown,"Administered by","1, Treating clinician | 2, Independent assessor | 3, Research team member",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_name,baseline_saqol39,,text,"Name of Administrator",,,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_mode,baseline_saqol39,,radio,"Mode of administration","1, In person | 2, Remote via telehealth | 9, Other {saqol_base_modeoth}",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_modeoth,baseline_saqol39,,text,"Please specify",,,,,,,[saqol_base_mode]='9',,,,,," @PLACEHOLDER=""Please specify"""
saqol_base_qheader1,baseline_saqol39,Physical,descriptive,"During the past week, how much trouble did you have",,,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_sc1,baseline_saqol39,,radio,"SC1 Preparing food?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_sc4,baseline_saqol39,,radio,"SC4 Getting dressed?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_sc5,baseline_saqol39,,radio,"SC5 Taking a bath or shower?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_m1,baseline_saqol39,,radio,"<div class=""rich-text-field-label""><p>M1 Walking?<br><br><em>If patient can't walk, tick 1 and go to question M7</em></p></div>","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_m4,baseline_saqol39,,radio,"M4 Keeping your balance when bending or reaching over?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_m6,baseline_saqol39,,radio,"M6 Climbing stairs?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_m7,baseline_saqol39,,radio,"M7 Walking without stopping to rest or using a wheelchair without stopping to rest?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_m8,baseline_saqol39,,radio,"M8 Standing?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_m9,baseline_saqol39,,radio,"M9 Getting out of a chair?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_w1,baseline_saqol39,,radio,"W1 Doing daily work around the house?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_w2,baseline_saqol39,,radio,"W2 Finishing jobs that you started?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_ue1,baseline_saqol39,,radio,"UE1 Writing or typing?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_ue2,baseline_saqol39,,radio,"UE2 Putting on socks?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_ue4,baseline_saqol39,,radio,"UE4 Doing buttons?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_ue5,baseline_saqol39,,radio,"UE5 Doing a zip?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_ue6,baseline_saqol39,,radio,"UE6 Opening a jar?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_qheader2,baseline_saqol39,Communication,descriptive,"During the past week, how much trouble did you have",,,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_l2,baseline_saqol39,,radio,"L2 Speaking?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_l3,baseline_saqol39,,radio,"L3 Speaking clearly enough to use the phone?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_l5,baseline_saqol39,,radio,"L5 Getting other people to understand you?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_l6,baseline_saqol39,,radio,"L6 Finding the word you wanted to say?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_l7,baseline_saqol39,,radio,"L7 Getting other people to understand you even when you repeated yourself?","1, 1 Couldn't do it at all | 2, 2 A lot of trouble | 3, 3 Some trouble | 4, 4 A little trouble | 5, 5 No trouble at all",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_qheader3,baseline_saqol39,Psychosocial,descriptive,"During the past week, did you",,,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_t4,baseline_saqol39,,radio,"T4 Have to write things down to remember them (or ask somebody else to write things down for you to remember)?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_t5,baseline_saqol39,,radio,"T5 Find it hard to make decisions?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_p1,baseline_saqol39,,radio,"P1 Feel irritable?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_p3,baseline_saqol39,,radio,"P3 Feel that your personality has changed?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_md2,baseline_saqol39,,radio,"MD2 Feel discouraged about your future?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_md3,baseline_saqol39,,radio,"MD3 Have no interest in other people or activities?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_md6,baseline_saqol39,,radio,"MD6 Feel withdrawn from other people?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_md7,baseline_saqol39,,radio,"MD7 Have little confidence in yourself?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_e1,baseline_saqol39,,radio,"E2 Feel tired most of the time?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_e3,baseline_saqol39,,radio,"E3 Have to stop and rest often during the day?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_e4,baseline_saqol39,,radio,"E4 Feel too tired to do what you wanted to do?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_fr7,baseline_saqol39,,radio,"FR7 Feel that you were a burden to your family?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_qheader4,baseline_saqol39,Communication,descriptive,"During the past week, did you",,,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_fr9,baseline_saqol39,,radio,"FR9 Feel that your language problems interfered with your family life?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_qheader5,baseline_saqol39,Psychosocial,descriptive,"During the past week, did you",,,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_sr1,baseline_saqol39,,radio,"SR1 Go out less often than you would like?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_sr4,baseline_saqol39,,radio,"SR4 Do your hobbies and recreation less often than you would like?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
saqol_base_sr5,baseline_saqol39,,radio,"SR5 See your friends less often than you woud like?","1, 1 Definitely yes | 2, 2 Mostly yes | 3, 3 Not sure | 4, 4 Mostly no | 5, 5 Definitely no",,,,,,[saqol_base_comp]='1',,,,,,
